Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
By Popular Demand - Fraxel,Fraxel Fractional Laser,March,2017,28,11973,2.34
Smartlipo,Other,March,2017,2,1046,1.91
Sexy Legs/Body for Spring Break / Vacation,Laser Hair Removal,March,2017,2,1200,1.67
Grand Opening,Event,March,2017,7,4389,1.59
March Specials!,Juvederm,March,2017,11,7202,1.53
SculpSure/Coolsculpting,PelleFirm,March,2017,3,2265,1.32
Eliminate that Double Chin without Surgery,CoolSculpting,March,2017,2,2083,0.96
Repeat Welcome kristi,Dermal Fillers,March,2017,4,5204,0.77
Forma,Other,March,2017,1,3013,0.33
March Birthday,Birthday,March,2017,4,95,42.11
Get Ready for Spring with great discounts,Dermal Fillers,March,2017,6,212,28.3
O-Shot,O-Shot,March,2017,13,2172,5.99
Laser Skin Rejuvenation,,March,2017,6,1430,4.2
March Madness,Event,March,2017,9,2266,3.97
March Specials - Male,Other,March,2017,10,3062,3.27
March Specials - Female,Other,March,2017,27,11085,2.44
Get Beach Ready,Laser Hair Removal,March,2017,11,5726,1.92
Save the Date - Enhance your Beauty Spring Educational Event - 4/20/17 from 4-8 pm!!!,Event,March,2017,6,3252,1.85
eyelid surgery & fraxel,Fraxel Fractional Laser,March,2017,8,4908,1.63
Cellutone Intro Offer (Vanquish / Exilis),Cellulite Reduction,March,2017,8,5682,1.41
It's National Nutrition Month...,Other,March,2017,16,11532,1.39
She Gets It From Her Mama,Juvederm,March,2017,1,840,1.19
Spring Fling 3.31.27,CoolSculpting,March,2017,5,6312,0.79
One Week Flash Sale!,Chemical Peel,March,2017,2,10968,0.18
Men's Botox,Botox,March,2017,0,708,0
Exclusive Botox Offer,Botox,March,2017,60,3798,15.8
ThermiVa - LHR - Women,ThermiVa,March,2017,11,957,11.49
Welcome Our Newest Team Member!,Laser Hair Removal,March,2017,4,526,7.6
Voluma,Dermal Fillers,March,2017,16,3064,5.22
FemTouch Laser: Patient Education & Live Demonstration Event,Other,March,2017,10,2337,4.28
Move Out Party & Botox Intro,Event,March,2017,17,4749,3.58
Lone Star Surgery Introduces bioTE,Other,March,2017,4,1197,3.34
Lashes & Micro Blading,Other,March,2017,20,6491,3.08
April 20 Event,,March,2017,7,2579,2.71
Laser Hair Removal packages,Laser Hair Removal,March,2017,6,2637,2.28
Get Summer Ready,CoolSculpting,March,2017,23,11874,1.94
Spring IPL,IPL Therapy,March,2017,5,2673,1.87
April Savings,Massage,March,2017,22,12979,1.7
Injectable Rebates,Botox,March,2017,14,11934,1.17
Virtually Painless Laser Hair Removal,Laser Hair Removal,March,2017,5,5472,0.91
Precision TX Lower Face and Neck,Skin Tightening Laser,March,2017,4,5147,0.78
hydrafacial,HydraFacial,March,2017,3,4059,0.74
Review Us!,Event,March,2017,1,1898,0.53
Body Contouring - Repeat,Liposuction,March,2017,4,14689,0.27
Beach Body Ready,Venus Body,March,2017,0,2588,0
Core Intima,CO2RE intima,March,2017,0,800,0
Laser hair removal special,Laser Hair Removal,March,2017,0,169,0
Birthday Campaign,Birthday,March,2017,235,10873,21.61
Save the Date Spring Fling Event,Event,March,2017,56,2720,20.59
spring open house,Other-RSVP,March,2017,42,4842,8.67
Nova Threads,,March,2017,4,520,7.69
Huge Savings Limited Supply of Rebates. Save up to $140 on Botox Cosmetic!,Botox,March,2017,6,920,6.52
ThermiVa Upcoming Events,ThermiVa,March,2017,10,2151,4.65
Juverderm $100 rebate,Dermal Fillers,March,2017,56,12264,4.57
March Madness,Kybella,March,2017,8,2006,3.99
Microneedling Special,Other,March,2017,20,7335,2.73
March Specials,Botox,March,2017,17,6305,2.7
March madness Continues,Other,March,2017,14,13008,1.08
Buy BodyFX Package - A Non Surgical Alternative to Liposuction and Receive 3 FREE Cellulite treatments,Cellulite Reduction,March,2017,6,22722,0.26
Brazilian Butt lift,Liposuction,March,2017,0,400,0
Intro for Psychiatry Patients,Psychiatry Patients,March,2017,0,2136,0
Sildenafil-PRO,Other,March,2017,4,121,33.06
Xeomin One Day Only Special,Botox,March,2017,15,1392,10.78
Dr Hauschka Decorative Cosmetics Event,Event,March,2017,7,774,9.04
Dash and Glow,Event,March,2017,3,807,3.72
Skin Rejuvenation Lunch + Learn,Event,March,2017,7,1981,3.53
CoolSculpting Lunch 4/4/17,CoolSculpting,March,2017,26,7584,3.43
Hair Removal,Other,March,2017,17,6218,2.73
Breast Event at BPS,Event,March,2017,44,16768,2.62
One Day Obagi Sale,Other,March,2017,5,1941,2.58
Exilis Skin Tightening and HydraFacial,Exilis Face,March,2017,6,3151,1.9
Now and then,Botox,March,2017,14,7388,1.89
Coolest way to lose fat March 30th 2-7pm,CoolSculpting,March,2017,4,2221,1.8
Common Threadz,Event,March,2017,3,2280,1.32
march obagi spring promotions,Obagi,March,2017,2,1660,1.2
Goodbye Razor Hello Laser,Laser Hair Removal,March,2017,6,5235,1.15
SculpSure Spring Event,SculpSure,March,2017,2,2003,1
Full Body Mole Check,Other,March,2017,5,6847,0.73
New Full Spectrum Sauna,Event,March,2017,2,5355,0.37
RF Skin Tightening,RF Skin Tightening,March,2017,0,1588,0
Precision TX for Hyperhidrosis,Other,March,2017,0,5131,0
All Services,Other,March,2017,0,4022,0
Micro Madness,Microdermabrasion,March,2017,0,2341,0
BioTe Seminar,Event,March,2017,0,4375,0
Text to gain Email,Other,March,2017,76,3106,24.47
New Tattoo Laser,Tattoo Removal,March,2017,25,1815,13.77
PRP Hair,PRP Hair Restoration,March,2017,21,3262,6.44
Micro-Needling March 2017,Micro-Needling,March,2017,46,8096,5.68
Now's The Time To Spring Into Action!,Other,March,2017,11,2558,4.3
Injectables Breakfast Event Invite,Dermal Fillers,March,2017,29,7263,3.99
New Service Annoucement,Other,March,2017,1,268,3.73
April Open House: Revealing our New Look. Come and See!,Event,March,2017,14,3850,3.64
FemTouch,Other,March,2017,13,4948,2.63
Target Campaign,,March,2017,11,4239,2.59
Bellafill,Bellafill,March,2017,7,2799,2.5
Vanquish Silhouette Women,Vanquish Body,March,2017,11,4595,2.39
Vanquish SIlhouette Man,Vanquish Body,March,2017,6,2771,2.17
PRP Facial,PRP Facial,March,2017,4,2706,1.48
Labiaplasty,Other,March,2017,7,5023,1.39
Nonsurgical Face Lift Arrives in Brevard,Other,March,2017,7,6865,1.02
Increase Your Energy Level,Other,March,2017,2,2392,0.84
Beauty Bash this Sunday,Event-RSVP,March,2017,5,6834,0.73
Luscious Lashes,Other,March,2017,10,14638,0.68
Pioneering New Innovations,New Innovations,March,2017,2,3155,0.63
botox now and later,Botox,March,2017,0,337,0
All Services,Other,March,2017,0,4242,0
Laser Referral Special,Laser Hair Removal,March,2017,8,197,40.61
Wedding Season,Other,March,2017,8,961,8.32
Ultherapy - March/April 2017,Ultherapy,March,2017,23,2905,7.92
SculpSure for Men,SculpSure,March,2017,2,294,6.8
Fat Melting - March/April - Female,Vanquish Body,March,2017,12,1827,6.57
Spring Break Package 1,Other,March,2017,5,1125,4.44
"Coolsculpting ""Coolevent"" at Fremont Laser (April 20th)",CoolSculpting,March,2017,4,937,4.27
HCG Diet,Medical Weight Loss,March,2017,15,3896,3.85
Spring-specials,HydraFacial,March,2017,12,4072,2.95
Facials,Other,March,2017,3,1430,2.1
Spring Product Specials,Latisse,March,2017,23,11881,1.94
SculpSure/MedSpa event,Event,March,2017,6,4008,1.5
April 22 Event,April 22 Event,March,2017,2,2727,0.73
Groupon Deals,Botox,March,2017,56,2620,21.37
Fat Melting - March/April - Male,Vanquish Body,March,2017,2,259,7.72
intima,Other,March,2017,7,1208,5.79
"An Acne Event - Tuesday, April 4th @ 5:30pm",Chemical Peel,March,2017,7,1348,5.19
One Day Sale,Other,March,2017,11,3076,3.58
Spring Skin Prep Promotion,Other,March,2017,3,884,3.39
Dermal Fillers Prospects,Dermal Fillers,March,2017,9,4494,2
$75 Youthtopia Signature Facial,Other,March,2017,10,5253,1.9
"CoolEvent - April 13, 2017",CoolSculpting,March,2017,2,1152,1.74
Permanent Make-up,Perm Makeup,March,2017,15,10724,1.4
"Rejuvenate Fine Lines, Wrinkles, and Pigmentation.",Laser Skin Resurfacing,March,2017,7,5185,1.35
Cellulaze,Cellulite Reduction,March,2017,3,2977,1.01
Get Rid of your Razor,Laser Hair Removal,March,2017,3,3499,0.86
Summer Brazilian Blowout Offer!,Other,March,2017,1,3226,0.31
National Nutrition Month,Other,March,2017,2,8274,0.24
Repeat last campaign Canada,Medical Weight Loss,March,2017,0,717,0
Repeat last campaign USA,Medical Weight Loss,March,2017,0,1899,0
Birthday March,Birthday,March,2017,4,222,18.02
Cave creek Rodeo days flash sale,Laser Skin Resurfacing,March,2017,3,170,17.65
Bellafill & Dysport,Dermal Fillers,March,2017,7,505,13.86
Save Up to $140 on Botox,Botox,March,2017,48,4387,10.94
Get Bikini Ready for Summer!,Laser Hair Removal,March,2017,10,1299,7.7
Restylane Lyft,Dermal Fillers,March,2017,12,1841,6.52
Vollure XC Lunch n Learn,Event-RSVP,March,2017,11,1941,5.67
Rising Phoenix March,Other,March,2017,17,6308,2.69
Peel,Chemical Peel,March,2017,9,3420,2.63
Brazillian Butt Lift (BBL),Brazilian Butt Lift,March,2017,3,1853,1.62
HCG Diet,Medical Weight Loss,March,2017,2,2133,0.94
April 18 Webinar,April 18 Webinar,March,2017,1,15099,0.07
Pure Balance Med Spa - Easter Special - HOP On In!,,March,2017,8,114,70.18
Updated Contact Info 2017,Other,March,2017,282,17565,16.05
Two for one breast augmentation consultations,Breast Enhancement,March,2017,4,524,7.63
CoolSculpting Event,CoolSculpting,March,2017,9,1743,5.16
Flash Sale - Rejuvenating MicroPeel & Dermaplaning,Dermaplaning,March,2017,9,2641,3.41
Sleek Silhouette 2,Vanquish Body,March,2017,9,2831,3.18
An Evening with the Experts at Dilworth Dermatology & Laser on 4/6/2017,Dermal Fillers,March,2017,20,6593,3.03
Lipolight Version Two,Event,March,2017,5,3539,1.41
CoolSculpting Spring Break,CoolSculpting,March,2017,7,5272,1.33
April Birthday,Botox,March,2017,7,189,37.04
April Specials,Laser Hair Removal,March,2017,24,1341,17.9
April Botox Event,Botox,March,2017,11,2391,4.6
Neocutis Register to Win!,Event,March,2017,14,3139,4.46
Introducing FACE's Original Skin Care Line!,Other,March,2017,14,3230,4.33
Botox,Botox,March,2017,39,9154,4.26
YouthBoost Special with GlowBiotics,Chemical Peel,March,2017,1,320,3.13
CO2 Laser - April,Laser Skin Resurfacing,March,2017,5,2068,2.42
Bellafill the 5 year filler,Event,March,2017,4,1817,2.2
dermal filler,Dermal Fillers,March,2017,6,4060,1.48
"Pelleve, more like PellevYAY!",Pelleve,March,2017,7,5161,1.36
Pedicure Beds - Ultimate Spa Experience,Other,March,2017,12,21315,0.56
Event Cancellation,Event,March,2017,1,1985,0.5
"Lift, plump, and smooth",Juvederm,March,2017,0,493,0
Gift Certificate March '17,Other,March,2017,9,128,70.31
$100 off Kybella,Kybella,March,2017,5,321,15.58
Southern Womens Show,Other,March,2017,1,107,9.35
LHR Female,Laser Hair Removal,March,2017,8,1088,7.35
SkinCare Club - March/April 2017,Other,March,2017,17,2857,5.95
Mona Lisa Live Well Special,,March,2017,9,4044,2.23
Lunch & Learn with SculpSure,SculpSure,March,2017,8,4397,1.82
End of Quarter Sale,Event-RSVP,March,2017,17,9803,1.73
Brilliant Distinction Kybella Special,Kybella,March,2017,24,18860,1.27
Botox rebate,Botox,March,2017,0,171,0
Birthday Event,Birthday,March,2017,45,2559,17.58
Spring Event,Event,March,2017,48,3192,15.04
Cool Event Spring 2017,CoolSculpting,March,2017,17,2148,7.91
IPL & Fractional Bundle - April,IPL Therapy,March,2017,21,3102,6.77
Laser Hair Removal-1,Laser Hair Removal,March,2017,13,2019,6.44
CoolSculpting 200 Off Offer 4,CoolSculpting,March,2017,4,763,5.24
April Promotions at Dilworth Dermatology & Laser,Micro-Needling,March,2017,36,7125,5.05
IPL Photofacials,IPL Therapy,March,2017,9,1816,4.96
New OB/GYN,Other,March,2017,10,2496,4.01
Save on SculpSure,SculpSure,March,2017,7,1926,3.63
Boost Your Metabolism - Slim Shots or B12!,Medical Weight Loss,March,2017,11,3120,3.53
Refresh this Spring,Event,March,2017,29,8663,3.35
Hair Loss Treatment for Men & Women,PRP Hair Restoration,March,2017,4,1204,3.32
Kybella,Kybella,March,2017,13,10701,1.21
Laser Hair Reduction,Laser Hair Removal,March,2017,6,14359,0.42
Spring Patient Appreciation,Botox,March,2017,88,1411,62.37
April Laser Hair Removal,Laser Hair Removal,March,2017,17,4258,3.99
Birthday Info Gathering,Birthday,March,2017,19,6102,3.11
Kybella,Kybella,March,2017,13,4607,2.82
Botox Filler combo,Botox,March,2017,3,1419,2.11
body contouring event,Event,March,2017,7,4044,1.73
April Special- Spring Renewal Bouquet- Women (2 cycles),Breast Enhancement,March,2017,1,2038,0.49
New Technology Acugraph 1,Event,March,2017,1,3457,0.29
March Nova Threads,March Nova Threads,March,2017,0,1502,0
Birthday Month,HydraFacial,March,2017,0,67,0
Metagenics,Nutritional Supplements,April,2015,1,265,3.77
Ultherapy Skin,Ultherapy,April,2015,0,539,0
Fillers,Dermal Fillers,April,2015,0,496,0
Vampire Facelift,Vampire Facelifts,April,2015,0,333,0
Radiesse Specials,Dermal Fillers,April,2015,14,6054,2.31
PhotoFacial,IPL Therapy,April,2015,1,33,30.3
nutraMetrix,nutraMetrix,April,2015,0,489,0
Spring Fling,Spring Fling,April,2015,1,1817,0.55
Dermaplaning,Dermaplaning,April,2015,2,2128,0.94
Vampire Facelift,Vampire Facelifts,April,2015,8,1374,5.82
Anti-Aging Laser Treatments,,April,2015,15,2435,6.16
Juvederm Voluma,Dermal Fillers,April,2015,24,4336,5.54
Juvederm,Dermal Fillers,April,2015,18,7863,2.29
Complete-Botox Special,Botox,April,2015,16,11792,1.36
Vampire Facelift,Vampire Facelifts,April,2015,35,17149,2.04
Coolsculpting,CoolSculpting,April,2015,3,385,7.79
Vampire Facelift,Vampire Facelifts,April,2015,2,1093,1.83
Mother's Day!,Mother's Day!,April,2015,0,489,0
Body Sculpting,Tickle Lipo,April,2015,2,211,9.48
April Spring Open House,Botox,April,2016,64,4019,15.92
Semi-Annual Sale,,April,2016,39,5691,6.85
Referral Program,Event,April,2016,20,3187,6.28
Coolsculpting-pt2,CoolSculpting,April,2016,53,10336,5.13
BOTOX ANDJUVEDERM,Botox,April,2016,8,1989,4.02
Mother's Day Beauty Sale,Dermal Fillers,April,2016,58,16264,3.57
BodyFX by Inmode,Event,April,2016,10,2998,3.34
Introducing the VENUS LEGACY,Venus Body,April,2016,8,2418,3.31
COOLSCULPTING,CoolSculpting,April,2016,31,11150,2.78
Free Pure Hydration Serum,Event,April,2016,9,3351,2.69
Salt Room/Halotherapy,,April,2016,12,5446,2.2
Spring Beauty Event,CoolSculpting,April,2016,6,4211,1.42
Body Contouring,CoolSculpting,April,2016,2,1493,1.34
April Beauty Deals--Temecula,Venus Body,April,2016,2,2221,0.9
Breast Augmentation/Lift Special,Breast Enhancement,April,2016,0,1509,0
Be Part of The Club!,The Club!,April,2016,0,24555,0
Men - Enter to WIN a FREE Ultherapy Treatment!,Ultherapy Treatment!,April,2016,0,3821,0
April Specials,Dermal Fillers,April,2016,24,5253,4.57
Obagi products,Obagi,April,2016,2,4121,0.49
Spray for only $10.00 on Mondays,Spray for only $10.00 on Mondays,April,2016,1,24555,0.04
"Micropeel Plus, April Special",Dermaplaning,April,2016,34,2488,13.67
Lipotropic Injections,Medical Weight Loss,April,2016,11,1080,10.19
Save on MyBody Products and get a PYB for $99,,April,2016,7,1162,6.02
Bay Area Body Spring Open House,CoolSculpting,April,2016,54,9238,5.85
Need a Lift?,,April,2016,4,687,5.82
Use Your Points,Botox,April,2016,4,755,5.3
April Special,,April,2016,23,5691,4.04
Smartlipo $250 Gift Certificate,SmartLipo,April,2016,7,2017,3.47
Free Level 1 Glycolic Treatments In April,,April,2016,73,22609,3.23
Women -Enter for a chance to win a FREE Ultherapy Treatment!,Ultherapy,April,2016,5,2025,2.47
MicroNeedling,Micro-Needling,April,2016,18,7765,2.32
Bellafill / Looks that Last Years Instead of Month,Bellafill,April,2016,48,21009,2.28
CoolSculpting For You & A Friend,CoolSculpting,April,2016,13,6417,2.03
Back Wax,,April,2016,1,584,1.71
Put the spring back in your step,Laser Vein Treatment,April,2016,2,1236,1.62
April Specials - La Mesa,Microdermabrasion,April,2016,25,17426,1.43
April Specials,Laser Vein Treatment,April,2016,20,19092,1.05
Anti-Aging Conference,Event,April,2016,1,2223,0.45
How to Apply skin care products,How to Apply skin care products,April,2016,1,3789,0.26
May Ultherapy,Ultherapy,April,2016,26,2420,10.74
April Monthly Facial Special,Event,April,2016,31,4299,7.21
LHR April,Laser Hair Removal,April,2016,25,3618,6.91
Breast Augmentation,Breast Enhancement,April,2016,14,2912,4.81
Men - Enter to WIN a FREE Ultherapy Treatment!,Ultherapy,April,2016,6,1694,3.54
April Specials,,April,2016,11,3165,3.48
April Specials,Fraxel Fractional Laser,April,2016,62,24559,2.52
New procedures,,April,2016,15,6211,2.42
Venus Freeze,Venus Body,April,2016,10,4395,2.28
Fakebake,,April,2016,4,2283,1.75
Mini BodyFX (inMode),FX (inMode),April,2016,5,3569,1.4
Spring Specials,PRP Skin/Scar Restoration,April,2016,17,15372,1.11
Cellulaze: Get Rid of Your Cellulite Before Bikini Season!,Cellulite Reduction,April,2016,6,6357,0.94
Free Fat Girl Slim!,Girl Slim!,April,2016,8,24873,0.32
Breastlift with Fat & Platelet Rich Plasma,Vampire Breastlift,April,2016,1,4436,0.23
Open House,Event,April,2016,0,830,0
Ultherapy/Photo Facial,Ultherapy,April,2016,0,1242,0
4/12 Webinar,4/12 Webinar,April,2016,0,2475,0
We missed you!,,April,2016,22,1096,20.07
Up to 82% off B-12 Lipotropic shots to boost energy and metabolism,Medical Weight Loss,April,2016,16,1759,9.1
Probiotic Youthboost $99 plus all MyBody Skincare 20% off,,April,2016,9,1166,7.72
Lila Laser,,April,2016,35,4823,7.26
Ulthera Spring Spectacular,Ultherapy,April,2016,19,4452,4.27
Laser Hair Removal and Skin Rejuvenation,Laser Hair Removal,April,2016,17,7208,2.36
CoolSculpting 25%,CoolSculpting,April,2016,32,14567,2.2
Halo,Halo,April,2016,22,10046,2.19
Save up to $120 on 5-ml Latisse kits,Latisse,April,2016,6,3027,1.98
SPRING IS HERE,Chemical Peel,April,2016,6,3080,1.95
Introducing Kybella,Kybella,April,2016,27,15586,1.73
April Promotions and Event,Ultherapy,April,2016,7,4867,1.44
MicroPen & DermaKinetics,Micro-Needling,April,2016,9,6473,1.39
Velashape,VelaShape,April,2016,5,4381,1.14
LHR,Laser Hair Removal,April,2016,3,6896,0.44
April Peel Campaign,Chemical Peel,April,2016,1,2629,0.38
Laser Hair Removal,Laser Hair Removal,April,2016,5,15543,0.32
"Please extend ""Tips for Staging your Home""",Home Staging Tips,April,2016,0,2429,0
Receive your FREE Environ Skin Care Products!,Dermal Fillers,April,2016,7,469,14.93
April Specials,Dermal Fillers,April,2016,14,1098,12.75
Its Our first Anniversary,,April,2016,18,1819,9.9
Introducing new esthetician Maggie,Microdermabrasion,April,2016,42,4301,9.77
The results are in! Patients love ThermiVa,ThermiVa,April,2016,16,2815,5.68
April Sepcials Kybella / Scupltra / MicroPen and Peels,Kybella,April,2016,19,4067,4.67
Spring into Summer,Juvederm,April,2016,11,2568,4.28
April-Botox&Bellafill,Dermal Fillers,April,2016,2,500,4
Birthday Blast,Birthday,April,2016,1,266,3.76
Save Big on Kybella +/- Botox,Kybella,April,2016,12,4811,2.49
Supplements,,April,2016,6,4350,1.38
ThermiVa,ThermiVa,April,2016,15,11885,1.26
April,Micro-Needling,April,2016,10,7962,1.26
Salt Glow Body Scub,Cellulite Reduction,April,2016,10,9700,1.03
New Life Eternal Youth Facelift,Vampire Facelifts,April,2016,4,7864,0.51
Mother's Day Specials,SculpSure,April,2016,2,6896,0.29
Give Away Campaign,Event,April,2016,0,2629,0
Out of Office Notice,Event,April,2016,0,2529,0
Latisse and ThermiEyes,ThermiEyes,April,2016,0,6654,0
Be ready for Summer with Venus Freeze,Event,April,2016,2,1658,1.21
Cellfina Event,Event,April,2016,10,9043,1.11
Now Offering Microneedling,Micro-Needling,April,2016,5,5618,0.89
New Patient Giveaway,Patient Giveaway,April,2016,0,2529,0
April Filler & Dysport Special,Bellafill,April,2016,5,716,6.98
Dysport Event,Event,April,2016,11,711,15.47
Xeomin,Event,April,2016,19,2456,7.74
Laser Facial Resurfacing,,April,2016,37,11227,3.3
Breast Event,,April,2016,57,19216,2.97
Spring Aesthetic Specials,Vampire Facelifts,April,2016,5,1970,2.54
April Allergies,,April,2016,1,500,2
SUMMERS ALMOST HERE... GET BATHING SUIT READY,SmartLipo,April,2016,6,3080,1.95
Urinary Incontinence with the O-Shot,O-Shot,April,2016,14,7864,1.78
Are You Ready To Transform Your Stress,Event,April,2016,2,1338,1.49
Permanent Makeup-2,Perm Makeup,April,2016,4,4350,0.92
"Spinal Health of Children, chiropractic for kids, the positive affects",PediatricChiro,April,2016,2,2529,0.79
Sun Damage Photo Rejuvenation,IPL Therapy,April,2016,7,9701,0.72
April Newsletter,April Newsletter,April,2016,1,2801,0.36
Medical Weight Loss for Summer,Medical Weight Loss,April,2016,0,6896,0
Mother's Day Specials 2,Botox,April,2016,0,2471,0
Office Opening at 11am on Thursday/New Office Location,,April,2016,10,583,17.15
Ultherapy for Summer,Ultherapy,April,2016,41,2394,17.13
Birthday Treat Specials - April,Birthday,April,2016,1,208,4.81
Lunch & Learn Facial Aging,Event,April,2016,18,3922,4.59
Introducing 1540 nm fractionated resurfacing laser,Event,April,2016,30,6624,4.53
Spring Slim and Trim - Medical Weight loss that WORKS!,Medical Weight Loss,April,2016,15,5191,2.89
April Special,Chemical Peel,April,2016,11,5753,1.91
Exilis Elite,RF Skin Tightening,April,2016,26,32725,0.79
Mother's Day Special - Mommy MakeOver - 25% OFF,SmartLipo,April,2016,5,469,10.66
CoolSculpting,CoolSculpting,April,2016,11,1545,7.12
Vanquish/Exilis,Vanquish Body,April,2016,6,2801,2.14
Girls Night Out,Event,April,2016,4,3016,1.33
SculpSure Promo,SculpSure,April,2016,18,15544,1.16
Celebrating Our 3rd Anniversary Party,Event,April,2016,1,1658,0.6
Weight Loss,Medical Weight Loss,April,2016,1,2629,0.38
Coolsculpting 2,CoolSculpting,April,2016,0,5531,0
Mom and Daughter Liquid Face Lift,Dermal Fillers,April,2016,19,3923,4.84
Economic Offer,Ultrasonic Cavitation,April,2016,2,580,3.45
Mother's Day,Microdermabrasion,April,2016,12,3570,3.36
April Specials,Chemical Peel,April,2016,11,5249,2.1
VIP,Event,April,2016,10,4827,2.07
Coolsculpting 3,CoolSculpting,April,2016,10,5524,1.81
Mommy MakeOver Event,Botox,April,2016,17,23562,0.72
Experience the Sanctuary (Mock-up campaign),Sanctuary (Mock-up campaign),April,2016,4,18431,0.22
Botox & Filler Openings,Botox,April,2016,1,6465,0.15
Facelift,Facelift,April,2016,0,2727,0
Botox and Dermafiller Event,Event,April,2016,17,757,22.46
Mother's Day May,Dermal Fillers,April,2016,16,2279,7.02
Juvederm-April,Dermal Fillers,April,2016,10,4351,2.3
April BHRT,Bioidentical Hormone Replacement Therapy,April,2016,1,500,2
Event,Ultherapy,April,2016,15,21589,0.69
Happy Birthday!,Botox,April,2016,6,249,24.1
Super Sclero Saturday - April,,April,2016,9,1418,6.35
Filler,Dermal Fillers,April,2016,2,414,4.83
"Venus Skin Tightening, Injectables/Fillers, Detox",Venus Body,April,2016,25,7210,3.47
Magic Lift,Botox,April,2016,30,8726,3.44
Fresh Skin for Spring,Chemical Peel,April,2016,15,4370,3.43
April,Massage,April,2016,2,2496,0.8
April Event,Ultherapy,April,2016,3,4867,0.62
Mother's Day,Mother's Day,April,2016,10,19146,0.52
HPE Webinar follow-up,HPE Webinar follow-up,April,2016,0,2475,0
Introducing Global Rejuvination1,IPL Therapy,April,2016,0,1421,0
CoolSculpting before Summer Hits,CoolSculpting,April,2016,19,2398,7.92
Sculptra Aesthetics,,April,2016,3,428,7.01
Discover Our PRP Therapy Treatment,PRP Skin/Scar Restoration,April,2016,26,4091,6.36
Mother's Day Event,Microdermabrasion,April,2016,20,3526,5.67
Laser Hair Removal,Laser Hair Removal,April,2016,4,2462,1.62
April Special,Sculptra,April,2016,19,19777,0.96
Laser Hair Removal Special,Laser Hair Removal,April,2016,2,2123,0.94
Open House presale,Micro-Needling,April,2016,14,15810,0.89
Come to our SculpSure Event on Tuesday April 26th,SculpSure,April,2016,2,6465,0.31
Mother's Day,Chemical Peel,April,2016,7,25862,0.27
PRP Facial Package,Facial Package,April,2016,0,514,0
Sensitive Skin? We've Got Answers,Event,April,2016,0,12984,0
IPL Promotion,IPL Therapy,April,2016,25,3526,7.09
Introducing HydraFacial MD,Botox,April,2016,53,7872,6.73
3 IPL Treatments with FREE SkinMedica Lytera Brightening System,IPL Therapy,April,2016,12,2185,5.49
Coolsculpting Event,CoolSculpting,April,2016,2,510,3.92
Spring Fling,HydraFacial,April,2016,15,6667,2.25
Alchimie Event,Event,April,2016,10,4828,2.07
April Event,UltraShape,April,2016,13,29952,0.43
Mommy FaceOver Event,Juvederm,April,2016,10,23563,0.42
Ultherapy Event,Ultherapy,April,2016,7,131,53.44
April 26 Open House & May 3 Y LIFT Seminar,Event,April,2016,51,15816,3.22
Coming Soon - SculpSure,SculpSure,April,2016,5,3081,1.62
Mother's Day Special,Dermal Fillers,April,2016,13,9973,1.3
Mother's Day Offer,Mother's Day Offer,April,2016,1,2042,0.49
Sculptra,Sculptra,April,2016,0,19780,0
Thank You/Request for Recommendation 2,Request for Recommendation 2,April,2016,0,1338,0
Repeat Botox,Botox,April,2016,9,8896,1.01
Did you know campaign,Did you know campaign,April,2016,1,2042,0.49
Glytone and IPL Therapy for Younger Hands,IPL Therapy,April,2016,7,25864,0.27
April and May Specials,SmartLipo,April,2016,0,1422,0
20% Off The Entire Month of May,Dermal Fillers,April,2016,68,6360,10.69
New Location,Chemical Peel,April,2016,18,4161,4.33
Mother's Day Event,Event,April,2016,55,20533,2.68
Mothers Day & Graduation Ideas!,Obagi,April,2016,3,2304,1.3
Probiotic Youthboost $99 plus all MyBody Skincare 20% off #2,Event,April,2016,1,1175,0.85
Botox Bestie,Botox,April,2016,19,2110,9
Mommy Spa Day,Dermaplaning,April,2016,17,2816,6.04
Free B-12 Shot,,April,2016,2,581,3.44
Ultherapy Special,Ultherapy,April,2016,7,2123,3.3
Laser Hair Removal Sale,Laser Hair Removal,April,2016,22,7428,2.96
"Mother's Day blast, gift with purchase",Event,April,2016,7,2611,2.68
"BOTOX ""CHARITY"" EVENT THURSDAY MAY 19TH",Botox,April,2016,25,9383,2.66
Get your body ready for summer season with SculpSure,,April,2016,33,15604,2.11
Kybella seminar,Kybella,April,2016,12,6218,1.93
Hair Extension,Hair Extensions,April,2016,19,18418,1.03
Confused about injection fillers?,Dermal Fillers,April,2016,11,12985,0.85
May UltraShape,UltraShape,April,2016,15,29956,0.5
Repeat Ultherapy,Ultherapy,April,2016,1,8896,0.11
New Service: Kybella,Kybella,April,2016,5,2687,1.86
Save on MyBody Products and get a PYB for $99 #2,Event,April,2016,2,1175,1.7
Announcing New Technology: UltraShape,UltraShape,April,2016,24,19142,1.25
April Event,Event,April,2016,8,6840,1.17
Mothers Day,Massage,April,2016,1,12781,0.08
Cinco de Mayo Event,SculpSure,April,2016,23,2458,9.36
Obagi Reveal Event May 4 2016,Obagi,April,2016,14,2185,6.41
Mother's Day,Dermal Fillers,April,2016,8,1643,4.87
Ultherapy Open House,Ultherapy,April,2016,26,9117,2.85
Mother's Day Specials,Dermal Fillers,April,2016,2,718,2.79
